mass,strain,env,dis_trav,video,comments
0.001991,r,p,NA,1,NA
0.001548,r,u,NA,1,NA
0.000821,s,p,NA,1,NA
0.001388,s,u,NA,1,NA
0.0011315,r,p,NA,2,NA
0.0014595,r,u,NA,2,NA
0.0014475,s,p,NA,2,NA
0.0012095,s,u,NA,2,NA
0.0012865,r,p,NA,3,NA
0.00145,r,u,NA,3,NA
0.0018615,s,p,NA,3,NA
0.00151,s,u,NA,3,NA
0.001371,r,p,NA,4,NA
0.00018085,r,u,NA,4,NA
0.001836,s,p,NA,4,NA
0.0016665,s,u,NA,4,NA
0.001305,r,p,NA,5,NA
0.001813,r,u,NA,5,NA
0.00168,s,p,NA,5,NA
0.0013455,s,u,NA,5,NA
0.001459,r,p,NA,6,NA
0.0014045,r,u,NA,6,NA
0.0015925,s,p,NA,6,NA
0.001413,s,u,NA,6,NA
0.0015785,r,p,NA,7,NA
0.001517,r,u,NA,7,NA
0.0016285,s,p,NA,7,NA
0.002096,s,u,NA,7,NA
0.001255,r,p,NA,8,NA
0.001474,r,u,NA,8,NA
0.001154,s,p,NA,8,NA
0.0010145,s,u,NA,8,NA
0.001298,r,p,NA,9,NA
0.001707,r,u,NA,9,NA
0.001005,s,p,NA,9,NA
0.0012875,s,u,NA,9,NA
0.0014075,r,p,NA,10,NA
0.001688,r,u,NA,10,NA
0.0012525,s,p,NA,10,NA
0.001655,s,u,NA,10,NA
0.001476,r,p,NA,11,NA
0.00164,r,u,NA,11,NA
0.0010105,s,p,NA,11,NA
0.001553,s,u,NA,11,NA
0.0010385,r,p,NA,12,NA
0.0012875,r,u,NA,12,NA
0.0009795,s,p,NA,12,NA
0.0009795,s,u,NA,12,NA
0.001146,r,p,NA,13,NA
0.0014385,r,u,NA,13,NA
0.000997,s,p,NA,13,NA
0.001118,s,u,NA,13,NA
0.0013825,r,p,NA,14,NA
0.0010295,r,u,NA,14,NA
0.0011215,s,p,NA,14,NA
0.0012275,s,u,NA,14,NA
0.0011245,r,p,NA,15,NA
0.0010305,r,u,NA,15,NA
0.001016,s,p,NA,15,NA
0.0011905,s,u,NA,15,NA
0.0012385,r,p,NA,16,NA
0.0019155,r,u,NA,16,NA
0.001352,s,p,NA,16,NA
0.0014155,s,u,NA,16,NA
0.001841,r,p,NA,17,NA
0.001728,r,u,NA,17,NA
0.0012065,s,p,NA,17,NA
0.001439,s,u,NA,17,NA
0.001526,r,p,NA,18,NA
0.0011025,r,u,NA,18,NA
0.0012005,s,p,NA,18,NA
0.000937,s,u,NA,18,NA
0.001376,r,p,NA,19,NA
0.00144,r,u,NA,19,NA
0.0011715,s,p,NA,19,NA
0.001425,s,u,NA,19,NA
0.0009775,r,p,NA,20,NA
0.001469,r,u,NA,20,NA
0.00116,s,p,NA,20,NA
0.0013515,s,u,NA,20,NA
0.001119,r,p,NA,21,NA
0.001386,r,u,NA,21,NA
0.0009725,s,p,NA,21,NA
0.001051,s,u,NA,21,NA
0.001591,r,p,NA,22,NA
0.001492,r,u,NA,22,NA
0.001508,s,p,NA,22,NA
0.00142,s,u,NA,22,NA
0.001119,r,p,NA,23,NA
0.0017125,r,u,NA,23,NA
0.0009725,s,p,NA,23,NA
0.000884,s,u,NA,23,NA